Drink_ID,Drink_Name,Drink_Tags,Category,Alcoholic,Glass_Type,Instructions,CreativeCommons,Date_Modified
17222,A1,,Cocktail,Alcoholic,Cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",No,2017-09-07 21:42:09
13501,ABC,,Shot,Alcoholic,Shot glass,Layered in a shot glass.,No,2016-08-31 19:32:08
17225,Ace,,Cocktail,Alcoholic,Martini Glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,No,2017-09-07 22:05:06
14610,ACID,,Shot,Alcoholic,Shot glass,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,No,2016-11-15 11:28:37
17837,Adam,"Alcoholic,Holiday",Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Yes,2016-09-02 11:29:29
13938,AT&T,,Ordinary Drink,Alcoholic,Highball Glass,"Pour Vodka and Gin over ice, add Tonic and Stir",No,2017-04-24 22:00:19
17833,A. J.,,Ordinary Drink,Alcoholic,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",Yes,2016-09-02 11:16:58
15266,Avalon,,Ordinary Drink,Alcoholic,Highball glass,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.",No,2017-04-24 22:22:11
15106,Apello,,Other / Unknown,Non alcoholic,Collins Glass,Stirr. Grnish with maraschino cherry.,No,2016-07-18 22:13:35
17839,Affair,,Ordinary Drink,Alcoholic,Highball glass,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",Yes,2016-09-01 10:05:34
17835,Abilene,,Ordinary Drink,Alcoholic,Highball glass,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,Yes,2016-04-29 09:44:25
11023,Almeria,,Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",No,2017-01-02 20:16:21
17228,Addison,,Cocktail,Alcoholic,Martini Glass,Shake together all the ingredients and strain into a cold glass.,No,2017-09-07 22:38:20
11046,Applecar,,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",No,2017-09-02 23:02:44
17836,Acapulco,,Ordinary Drink,Alcoholic,Old-fashioned glass,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,Yes,2016-09-02 11:26:16
17840,Affinity,,Ordinary Drink,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Yes,2017-09-07 21:44:05
17180,Aviation,"IBA,Classic",Cocktail,Alcoholic,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,Yes,2016-11-04 09:55:28
15182,After sex,,Ordinary Drink,Alcoholic,Highball glass,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,No,2017-04-24 22:18:22
16311,Applejack,,Cocktail,Alcoholic,Cocktail glass,"Add all ingredients into mixing glass, chill and strain into cocktail glass",No,2016-11-15 11:24:22
12560,Afterglow,,Cocktail,Non alcoholic,Highball Glass,Mix. Serve over ice.,No,2016-07-18 22:07:32
13162,Afternoon,,Coffee / Tea,Alcoholic,Collins Glass,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",No,2016-08-31 19:22:57
11014,Alexander,"IBA,Classic,Dairy",Ordinary Drink,Alcoholic,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,Yes,2016-11-04 09:50:39
12756,Autodafé,,Ordinary Drink,Alcoholic,Highball glass,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,No,2017-02-20 15:02:08
11021,Allegheny,,Ordinary Drink,Alcoholic,Cocktail glass,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,No,2017-01-02 20:12:14
15941,Americano,"IBA,Classic",Ordinary Drink,Alcoholic,Collins glass,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",Yes,2016-11-04 09:52:06
15853,B-52,"IBA,NewEra",Shot,Alcoholic,Shot glass,Layer ingredients into a shot glass. Serve with a stirrer.,No,2017-09-02 18:07:51
13332,B-53,,Shot,Alcoholic,Collins Glass,"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52",No,2016-04-28 18:53:43
17254,Bijou,,Cocktail,Alcoholic,Cocktail glass,"Stir in mixing glass with ice and strain
",No,2017-12-19 18:09:45
11149,Boxcar,,Ordinary Drink,Alcoholic,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",No,2017-09-02 16:32:57
13222,Big Red,,Shot,Alcoholic,Shot glass,Pour ingredients into 1 ounce shot glass,No,2015-09-03 03:41:56
17195,Bellini,"ContemporaryClassic,IBA",Ordinary Drink,Alcoholic,Champagne Flute,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.",No,2017-09-02 16:52:23
17210,Bramble,"IBA,NewEra",Ordinary Drink,Alcoholic,Old-Fashioned glass,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",Yes,2017-09-02 18:15:26
11060,Balmoral,,Ordinary Drink,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",No,2015-09-02 16:04:57
11120,Bluebird,,Ordinary Drink,Alcoholic,Cocktail glass,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",Yes,2015-09-02 17:06:11
178310,Brooklyn,"Alcoholic,Sweet,DateNight,USA",Cocktail,Alcoholic,Cocktail glass,Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.,Yes,
12572,Bora Bora,,Cocktail,Non alcoholic,Highball glass,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",No,2016-09-06 23:43:31
11124,Boomerang,,Ordinary Drink,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",No,2017-09-02 22:59:12
17209,Barracuda,"IBA,NewEra",Ordinary Drink,Alcoholic,Margarita glass,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",No,2017-09-02 18:12:17
17825,Brigadier,,Cocktail,Alcoholic,Coupe Glass,Mix ingredients in a warmed mug and stir.,No,2018-02-18 09:50:01
178311,Broadside,,Cocktail,Alcoholic,Highball glass,"Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!",Yes,
17035,Buccaneer,,Beer,Alcoholic,Beer pilsner,Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,No,2015-09-03 03:57:03
17120,Brain Fart,,Punch / Party Drink,Alcoholic,Punch bowl,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,No,2017-09-02 23:01:42
11106,Blackthorn,,Ordinary Drink,Alcoholic,Cocktail glass,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,No,2015-09-02 16:57:10
13395,Bob Marley,,Shot,Alcoholic,Shot glass,Layer in a 2 oz shot glass or pony glass,No,2016-10-22 13:51:04
16986,Bible Belt,,Other / Unknown,Alcoholic,Highball glass,"Mix all ingredients, and pour over ice.",No,2017-08-24 09:34:35
14730,Bubble Gum,,Shot,Alcoholic,Shot glass,Layer in order into a shot glass.,No,2016-07-18 22:53:03
14538,Bumble Bee,,Shot,Alcoholic,Shot glass,"This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!",No,2016-04-28 18:59:38
15511,Baby Eskimo,,Shake,Alcoholic,Collins Glass,"Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink.",No,2016-09-01 09:57:07
11129,Boston Sour,,Ordinary Drink,Alcoholic,Whiskey sour glass,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",No,2017-09-02 16:28:20
17267,Bahama Mama,,Cocktail,Alcoholic,Highball glass,"Add 2 parts club soda or more or less to taste.

Mix it all together and pour over a bunch of ice. Drink with a straw.",No,2018-01-12 21:42:19
17185,Casino,IBA,Ordinary Drink,Alcoholic,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,No,2017-09-02 11:36:19
14181,Cafe Savoy,,Coffee / Tea,Alcoholic,Coffee mug,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.",No,2015-09-03 03:35:11
11202,Caipirinha,"ContemporaryClassic,IBA",Ordinary Drink,Alcoholic,Old-fashioned glass,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,Yes,2016-07-21 09:42:01
14608,Cream Soda,,Cocktail,Alcoholic,Highball glass,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,No,2016-11-15 11:29:27
13751,Cuba Libra,,Ordinary Drink,Alcoholic,Highball glass,Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!,No,2017-09-02 22:44:56
11239,Cherry Rum,,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",No,2015-09-06 16:47:04
11288,Cuba Libre,"IBA,ContemporaryClassic",Ordinary Drink,Alcoholic,Highball glass,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,Yes,2016-09-06 23:41:03
17830,Corn n Oil,,Cocktail,Alcoholic,Old-fashioned glass,"Cut the half lime in half again. Add the lime, falernum, and bitters to a rocks glass. Muddle. Add the rum. (Aged Barbados rum such as Plantation 5 Year is recommended). Add ice and stir. Float the blackstrap rum on top. Serve with a straw.",No,2018-06-27 15:15:09
17135,Citrus Coke,,Soft Drink,Alcoholic,Highball Glass,Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!,No,2016-11-18 12:46:54
11222,Casa Blanca,,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",No,2015-09-06 16:36:02
17186,Clover Club,"IBA,Classic",Ordinary Drink,Alcoholic,Cocktail glass,"Dry shake ingredients to emulsify, add ice, shake and served straight up.",No,2017-09-02 11:38:35
13206,Caipirissima,,Ordinary Drink,Alcoholic,Collins Glass,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,No,2017-08-24 10:05:15
11251,City Slicker,,Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",No,2017-09-02 16:42:29
16047,Campari Beer,,Beer,Alcoholic,Beer mug,Use a 15 oz glass. Add Campari first. Fill with beer.,No,2015-09-03 03:58:50
11242,Chicago Fizz,,Ordinary Drink,Alcoholic,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",No,2015-09-02 16:29:23
17196,Cosmopolitan,"IBA,ContemporaryClassic",Cocktail,Alcoholic,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,No,2017-09-02 17:06:02
12800,Coffee-Vodka,,Homemade Liqueur,Alcoholic,Collins Glass,"Boil water and sugar until dissolved. Turn off heat. Slowly add dry instant coffee and continue stirring. Add a chopped vanilla bean to the vodka, then combine the cooled sugar syrup and coffee solution with the vodka. Cover tightly and shake vigorously each day for 3 weeks. Strain and filter. Its also best to let the sugar mixture cool completely so the vodka won't evaporate when its added. If you like a smoother feel to the liqueur you can add about 1 teaspoon of glycerine to the finished product.",No,2016-08-31 19:18:14
11224,Casino Royale,,Ordinary Drink,Alcoholic,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",No,2017-09-02 16:38:19
17250,Corpse Reviver,,Cocktail,Alcoholic,Cocktail glass,"Shake, strain, straight up, cocktail glass rinsed with absinthe
",No,2017-12-19 17:25:34
13328,Chocolate Milk,,Shot,Alcoholic,Shot Glass,"Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!",No,2017-09-08 17:49:59
11255,Clove Cocktail,,Ordinary Drink,Alcoholic,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",No,2016-04-28 19:19:39
12798,Coffee Liqueur,,Homemade Liqueur,Alcoholic,Collins Glass,"Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks.",No,2015-09-03 05:17:31
17108,Coke and Drops,,Soft Drink,Non alcoholic,Cocktail glass,"Take a glass, pour the Coke in the glass, then you take 7 drops of lemon juice. Granish with a lemon slice on the rim of the glass.",No,2016-09-01 09:42:47
12734,Chocolate Drink,,Cocoa,Non alcoholic,Coffee mug,"Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug.",No,2017-02-20 15:06:20
12890,Cranberry Punch,,Punch / Party Drink,Non alcoholic,Punch Bowl,"Combine first four ingredients. Stir until sugar is dissolved, chill. Then add ginger ale just before serving. Add ice ring to keep punch cold.",No,2017-09-02 22:54:08
17187,Derby,"Classic,IBA",Ordinary Drink,Alcoholic,Cocktail glass,Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.,No,2017-09-02 11:45:56
13128,Diesel,,Beer,Alcoholic,Pint glass,Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.,No,2016-02-03 15:20:52
11006,Daiquiri,"IBA,Classic,Beach",Ordinary Drink,Alcoholic,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,Yes,2015-08-18 15:06:37
15409,Danbooka,,Coffee / Tea,Alcoholic,Coffee Mug,pour it in and mix it.,No,2015-09-03 03:07:55
16991,Downshift,,Punch / Party Drink,Alcoholic,Hurricane glass,"Start with the Sprite. Next comes the tequila. After that, add the Minute Maid Fruit Punch, then float the 151. Rocks optional.",No,2017-08-24 09:38:31
11320,Dragonfly,,Ordinary Drink,Alcoholic,Highball glass,"In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge.",Yes,2017-09-02 22:51:40
11005,Dry Martini,"IBA,Classic,Christmas,Alcoholic",Cocktail,Alcoholic,Cocktail glass,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",Yes,2017-09-02 12:51:35
11324,Dry Rob Roy,,Ordinary Drink,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.",No,
14466,Dirty Nipple,,Shot,Alcoholic,Shot glass,This is a layered shot - the Bailey's must be on top,No,2016-04-28 19:01:49
17181,Dirty Martini,"IBA,NewEra",Cocktail,Alcoholic,Cocktail glass,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.",No,2017-01-22 11:08:20
14482,Darkwood Sling,,Soft Drink,Alcoholic,Cocktail glass,"There are many good cherry liqueurs you can use, but I prefere Heering. Add one share of the liqueur. Then you add one share of Soda. For a sour sling use Tonic (most people prefer the drink without Tonic). Afterwards you fill the glass with Orange Juice and ice cubes.",No,2016-09-01 09:41:43
17211,Dark and Stormy,"IBA,NewEra",Ordinary Drink,Alcoholic,Highball glass,In a highball glass filled with ice add 6cl dark rum and top with ginger beer. Garnish with lime wedge.,No,2017-09-02 18:55:05
17177,Dark Caipirinha,,Cocktail,Alcoholic,Highball glass,"Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well.",Yes,2016-08-28 18:40:58
17182,Duchamp's Punch,,Cocktail,Alcoholic,Old-fashioned glass,"Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs",No,2017-01-22 11:31:25
13194,Damned if you do,,Shot,Alcoholic,Shot glass,Pour into shot glass. Put in mouth. Repeat as deemed necessary.,No,2017-08-24 09:58:26
11326,Dubonnet Cocktail,,Ordinary Drink,Alcoholic,Cocktail glass,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,Yes,2015-08-13 10:12:27
12736,Drinking Chocolate,,Cocoa,Non alcoholic,Coffee mug,"Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate, use 4 oz of milk, 4 oz of cream, 4 oz of chocolate. Serve in coffee mug.",No,2017-02-20 15:06:13
178334,Death in the Afternoon,Drunk,Cocktail,Alcoholic,Margarita glass,"Easy as you like, pour the absinthe into a chilled glass, top with champagne. Must be drunk mid afternoon for the optimum effect.",No,
12668,Egg Cream,,Other / Unknown,Non alcoholic,Coffee mug,"Mix syrup and milk in a fountain glass. Add soda water, serve with a straw.",No,2017-01-14 21:47:26
12910,Egg Nog #4,,Punch / Party Drink,Optional alcohol,Punch bowl,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups.",No,2016-07-18 22:02:27
11338,English Highball,,Ordinary Drink,Alcoholic,Highball glass,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",No,2017-09-04 11:09:12
17212,Espresso Martini,"IBA,NewEra",Cocktail,Alcoholic,Cocktail glass,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass",No,2017-09-02 18:22:31
178309,Espresso Rumtini,"DinnerParty,StrongFlavor",Cocktail,Alcoholic,Cocktail glass,Mix together in a cocktail glass. Garnish with some choclate powder and coffee beans,Yes,
12916,Egg Nog - Healthy,,Punch / Party Drink,Optional alcohol,Collins Glass,"Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings.",No,2016-07-18 21:55:08
11339,English Rose Cocktail,,Ordinary Drink,Alcoholic,Cocktail glass,Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.,No,2015-09-02 16:44:57
178346,Elderflower Caipirinha,Brazilian,Cocktail,Alcoholic,Collins glass,Take the glass and muddle the lime in it. Fill the glass with crushed ice and add the Cachaca. Stir well and top with some more crushed ice. Garnish with lime and enjoy!,No,
12914,Egg-Nog - Classic Cooked,,Punch / Party Drink,Optional alcohol,Pitcher,"In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately.",No,2016-07-18 21:58:25
17246,Empellón Cocina's Fat-Washed Mezcal,,Cocktail,Alcoholic,Beer Glass,"To ensure that your pork fat is just as delicious as theirs, here’s their adobo marinade and what to do with it (you’ll also need a rack of ribs):

4 ancho chiles, 8 guajillo chiles and 4 chipotle chiles, plus 4 cloves roasted garlic, half a cup of cider vinegar, a quarter teaspoon of Mexican oregano, 1 teaspoon of ground black pepper, a whole clove, a quarter teaspoon of ground cinnamon and a half teaspoon of ground cumin.

Toast the dried chiles and soak in water for at least an hour until they are rehydrated. Drain and discard the soaking liquid. Combine the soaked chiles with the remaining ingredients and purée until smooth.

Cold smoke a rack of baby back pork ribs by taking a large hotel pan with woodchips on one side and charcoal on the other. Place another, smaller, pan with pork ribs, above the charcoal/woodchip pan. Ignite the charcoal, being careful to not ignite the woodchips. Cover both pans with foil and allow to smoke for 10-15 minutes, until desired level of smoke is achieved, then coat with adobo marinade and wrap in tin foil prior to placing ribs in a 300 degree oven for 7 hours. When the ribs have cooled, strain off the fat and use for the infusion.

If you’re having a hard time coming up to the same kind of volume of fat, make up the balance with pork lard from a butcher. To get the same depth of flavor without the ribs, heat up the fat in a pot with a few spoons of the marinade.

Once you’ve got your tub of seasoned pork fat in cooled liquid form, pour equal amounts of Ilegal Joven mezcal and fat into a sealable container. Seal the container and give it a really good shake, then put it in the freezer overnight. When the whole thing is separated and congealed, pour it through a fine mesh chinoise. If you don’t have a chinoise, try a fine mesh strainer, or if you don’t have one of those, try spooning off most of the fat. There will be some beads of orange fat left in the strained mezcal: run that through a few layers of cheesecloth (or coffee filters in a pinch) to get rid of the last of it.

The mezcal is now ready for drinking, straight-up or in a cocktail. 

Habanero tincture

Slice habaneros and add 2 ounces Ilegal Joven mezcal.
Allow to sit overnight or until desired level of heat is achieved.
Cocktail

Combine mezcal and chocolate liqueur in a mixing glass with ice and stir for 45 seconds.
Strain into chilled coupe.
Carefully ""sink"" the coffee liqueur down the inside of the coupe over a spoon.
