Drink_ID,Drink_Name,Drink_Tags,Category,Alcoholic,Glass_Type,Instructions,CreativeCommons,Date_Modified
12097,Rum Toddy,,Ordinary Drink,Alcoholic,Old-fashioned glass,Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.,No,2017-09-08 16:58:06
12055,Royal Fizz,,Ordinary Drink,Alcoholic,Collins glass,Shake all ingredients (except cola) with ice and strain into a chilled collins glass. Fill with cola and serve.,No,2017-09-02 23:16:49
12071,Rum Cooler,,Ordinary Drink,Alcoholic,Collins glass,Pour the rum and soda into a collins glass almost filled with ice cubes. Stir well and garnish with the lemon wedge.,No,2017-09-08 17:37:54
16250,Rum Runner,,Punch / Party Drink,Alcoholic,Cocktail glass,Mix all ingredients in glass & add ice.,No,2017-09-08 17:40:57
12101,Rusty Nail,"IBA,Classic",Ordinary Drink,Alcoholic,Old-fashioned glass,Pour the Scotch and Drambuie into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,No,2016-11-04 09:49:42
14087,Red Snapper,,Shot,Alcoholic,Old-fashioned glass,"One shot each, shake n shoot",No,2017-09-06 23:02:23
17122,Royal Bitch,,Shot,Alcoholic,Shot glass,Into a shot glass layer the Crown Royal on top of the Frangelico.,No,2015-09-02 17:08:10
15082,Royal Flush,,Shot,Alcoholic,Old-fashioned glass,Pour all the ingredients into tumbler over ice. Strain into glass.,No,2017-09-08 17:35:27
12067,Rum Cobbler,,Ordinary Drink,Alcoholic,Old-fashioned glass,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the rum. Stir well. Garnish with the cherry and the orange and lemon slices.",No,2017-09-02 23:18:03
17114,Ruby Tuesday,,Cocktail,Alcoholic,Highball glass,Pour gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.,No,2015-09-06 16:30:37
12630,Rail Splitter,,Cocktail,Non alcoholic,Highball glass,Mix sugar syrup with lemon juice in a tall glass. Fill up with ginger ale.,No,2015-09-02 16:27:40
17245,Rosemary Blue,,Cocktail,Alcoholic,Balloon Glass,"1) Add the Bombay Sapphire, Blue Curacao, rosemary sprig and gently squeezed lemon wedge to a balloon glass. Swirl well to combine.
2) Fill with cubed ice and top with the Fever-Tree Light Tonic Water.
3) Gently fold with a bar spoon to mix.",No,2017-12-04 16:55:43
178367,Ramos Gin Fizz,,Cocktail,Alcoholic,Highball glass,"Prepare all the ingredients on the counter to be able to work well and quickly, especially the cream and egg white.

Pour all the ingredients into a shaker.

Shake vigorously for 1 minute: cream and egg white must be mixed perfectly, so don't rush.

Now open the shaker and put some ice and shake for 1-2 minutes. It depends on how long you can resist!

Pour into a highball glass, add a splash of soda and garnish to taste.

Ramos Gin Fizz was once drunk as an invigorating drink or even as a breakfast, try it as an aperitif and after dinner and you will discover a little gem now lost.",No,
12057,Royal Gin Fizz,,Ordinary Drink,Alcoholic,Highball glass,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",No,2017-09-06 23:07:52
12087,Rum Milk Punch,,Ordinary Drink,Alcoholic,Collins glass,Shake all ingredients (except nutmeg) with ice and strain into a collins glass. Sprinkle nutmeg on top and serve.,No,2017-09-08 17:40:10
178333,Raspberry Julep,,Cocktail,Alcoholic,Cordial glass,"Softly muddle the mint leaves and raspberry syrup in the bottom of the cup. Add crushed ice and Bourbon to the cup and then stir. Top with more ice, garnish with a mint sprig.",No,
12091,Rum Screwdriver,,Ordinary Drink,Alcoholic,Highball glass,"Pour rum into a highball glass over ice cubes. Add orange juice, stir, and serve.",No,2017-11-27 11:28:14
17167,Raspberry Cooler,,Other / Unknown,Alcoholic,Highball glass,Pour the raspberry vodka and soda into a highball glass almost filled with ice cubes. Stir well.,No,2015-09-03 05:25:46
12089,Rum Old-fashioned,,Ordinary Drink,Alcoholic,Old-fashioned glass,"Stir powdered sugar, water, and bitters in an old-fashioned glass. When sugar has dissolved add ice cubes and light rum. Add the twist of lime peel, float 151 proof rum on top, and serve.",No,2017-09-07 22:44:09
17214,Russian Spring Punch,"IBA,NewEra",Ordinary Drink,Alcoholic,Highball glass,"Pour the ingredients into an highball glass, top with Sparkling wine.",No,2017-09-02 18:31:28
16984,Radioactive Long Island Iced Tea,,Ordinary Drink,Alcoholic,Collins Glass,Pour all ingredients over ice in a very tall glass. Sip cautiously.,No,2017-08-24 09:31:52
17141,Smut,,Punch / Party Drink,Alcoholic,Beer mug,Throw it all together and serve real cold.,No,2017-09-02 16:23:32
17215,Spritz,,Ordinary Drink,Alcoholic,Old-Fashioned glass,"Build into glass over ice, garnish and serve.",No,2017-09-02 18:34:25
12130,Scooter,,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.",No,2017-01-02 20:18:27
13020,Sangria,,Punch / Party Drink,Alcoholic,Pitcher,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.,No,2015-09-03 04:01:20
17193,Stinger,"IBA,Classic",Ordinary Drink,Alcoholic,Cocktail glass,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.",No,2017-09-02 12:40:33
12127,Sazerac,"IBA,Classic",Ordinary Drink,Alcoholic,Old-fashioned glass,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.",No,2015-08-18 15:13:28
12196,Sidecar,"IBA,Classic",Ordinary Drink,Alcoholic,Cocktail glass,Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.,Yes,2015-08-18 15:07:32
178349,Snowday,Winter,Cocktail,Alcoholic,Collins glass,Stir all ingredients with ice. Strain into a chilled rocks glass over fresh ice. Express orange peel over drink and garnish.,No,
178322,Spice 75,Christmas,Cocktail,Alcoholic,Wine Glass,"Gently warm 60g golden caster sugar in a pan with 30ml water and 1 tbsp allspice. Cook gently until the sugar has dissolved, then leave the mixture to cool. Strain through a sieve lined with a coffee filter (or a double layer of kitchen paper).

Pour 60ml of the spiced syrup into a cocktail shaker along with 200ml rum and 90ml lime juice. Shake with ice and strain between six flute glasses. Top up with 600ml champagne and garnish each with an orange twist.",No,
14195,Snowball,Christmas,Ordinary Drink,Alcoholic,Highball glass,Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.,No,2017-09-06 23:03:36
16985,Shot-gun,,Shot,Alcoholic,Shot glass,Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.,No,2017-08-24 09:33:03
12107,Salty Dog,,Ordinary Drink,Alcoholic,Highball glass,"Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.)",No,2017-09-08 18:03:36
12308,Stone Sour,,Ordinary Drink,Alcoholic,Whiskey sour glass,"Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve.",No,2016-09-01 09:51:35
13377,Sea breeze,"IBA,ContemporaryClassic",Ordinary Drink,Alcoholic,Highball glass,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,No,2017-09-02 17:59:22
12158,Scotch Sour,,Ordinary Drink,Alcoholic,Whiskey sour glass,"Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with 1/2 slice lemon, top with the cherry, and serve.",No,2017-09-08 18:07:16
16990,Sweet Tooth,,Shake,Alcoholic,Highball Glass,"Put 2 shots Godiva Liquour into a glass, add as much or as little milk as you would like.",No,2017-08-24 09:37:01
12162,Screwdriver,IBA,Ordinary Drink,Alcoholic,Highball glass,Mix in a highball glass with ice. Garnish and serve.,No,2017-09-02 12:36:47
12190,Sherry Flip,,Ordinary Drink,Alcoholic,Nick and Nora Glass,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,No,2016-11-10 23:27:08
12256,Sol Y Sombra,,Ordinary Drink,Alcoholic,Brandy snifter,"Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)",No,2017-08-22 19:19:43
16273,Shark Attack,,Cocktail,Alcoholic,Pitcher,Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!,No,2017-09-07 15:07:37
15184,San Francisco,,Ordinary Drink,Alcoholic,Highball glass,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry.",No,2017-09-08 17:59:21
15226,Space Odyssey,,Ordinary Drink,Alcoholic,Highball glass,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.,No,2017-09-07 21:57:23
12188,Sherry Eggnog,,Ordinary Drink,Alcoholic,Collins glass,"Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve.",No,2016-11-10 23:29:01
12724,Sweet Bananas,,Shake,Non alcoholic,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",No,2017-02-20 15:09:05
13024,Sweet Sangria,,Punch / Party Drink,Alcoholic,Pitcher,"Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw.",No,2016-07-19 11:30:28
12388,Thriller,,Ordinary Drink,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",No,2016-04-28 19:21:54
178350,The Galah,Dark,Cocktail,Alcoholic,Collins glass,Mix together the alcoholic portions and top with Pineapple and Lime juice.,No,
12856,Tia-Maria,,Homemade Liqueur,Alcoholic,Collins Glass,"Boil water, sugar and coffe for 10 mins and let cool. Add rum and vanilla. Put in clean bottle(s) and leave for 1 week before using.",No,2017-09-02 16:44:58
17828,Tipperary,,Cocktail,Alcoholic,Nick and Nora Glass,"Stir over ice. Strain into chilled glass. Cut a wide swath of orange peel, and express the orange oils over the drink. Discard orange twist.",No,2018-03-22 23:33:30
15006,Turkeyball,,Shot,Alcoholic,Shot glass,Shake with ice and strain into a shot glass.,No,2015-09-06 16:44:53
15639,Texas Sling,,Shake,Alcoholic,Wine Glass,"Blend with Ice until smooth. Serve in a tulip glass, top with whip cream.",No,2017-09-08 18:02:39
12782,Thai Coffee,,Coffee / Tea,Non alcoholic,Highball glass,"Place the coffee and spices in the filter cone of your coffee maker. Brew coffee as usual, let it cool. In a tall glass, dissolve 1 or 2 teaspoons of sugar in an ounce of the coffee (it's easier to dissolve than if you put it right over ice). Add 5-6 ice cubes and pour coffee to within about 1 inch of the top of the glass. Rest a spoon on top of the coffee and slowly pour whipping cream into the spoon. This will make the cream float on top of the coffee rather than dispersing into it right away.",No,2015-09-03 03:23:45
12402,Tom Collins,,Ordinary Drink,Alcoholic,Collins glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice.",Yes,2015-08-18 15:21:22
12726,Tomato Tang,,Other / Unknown,Non alcoholic,Highball glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",No,2017-02-20 15:07:58
14860,Talos Coffee,,Coffee / Tea,Alcoholic,Brandy snifter,Add your GM and then add your coffee.,No,2015-09-03 03:15:18
15515,Tennesee Mud,,Coffee / Tea,Alcoholic,Coffee Mug,"Mix Coffee, Jack Daniels and Amaretto. Add Cream on top.",No,2015-09-03 03:02:50
12362,Tequila Fizz,,Ordinary Drink,Alcoholic,Collins glass,"Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes. Fill with ginger ale, stir, and serve.",No,2017-09-08 17:53:57
12370,Tequila Sour,,Ordinary Drink,Alcoholic,Whiskey sour glass,"Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of lemon, top with the cherry, and serve.",No,2017-09-07 22:43:21
12786,Thai Iced Tea,,Coffee / Tea,Non alcoholic,Highball glass,"Combine Thai tea (i.e., the powder), boiling water, and sweetened condensed milk, stir until blended. Pour into 2 tall glasses filled with ice cubes. Garnish with mint leaves. Makes 2 servings.",No,2015-09-03 02:59:28
17247,The Last Word,,Cocktail,Alcoholic,Cocktail glass,Shake with ice and strain into a cocktail glass.,No,2017-12-19 16:57:04
12418,Turf Cocktail,,Ordinary Drink,Alcoholic,Cocktail glass,Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.,No,2015-09-06 16:46:07
17824,The Laverstoke,,Cocktail,Alcoholic,Balloon Glass,"1) Squeeze two lime wedges into a balloon glass then add the cordial, Bombay Sapphire and MARTINI Rosso Vermouth, swirl to mix.

2) Fully fill the glass with cubed ice and stir to chill.

3) Top with Fever-Tree Ginger Ale and gently stir again to combine.

4) Garnish with a snapped ginger slice and an awoken mint sprig.",No,2018-02-04 12:46:52
178307,Tequila Slammer,Drunk,Shot,Alcoholic,Hurricane glass,Mix carefully to avoid releasing the dissolved CO2.,No,
13621,Tequila Sunrise,"IBA,ContemporaryClassic",Cocktail,Alcoholic,Highball glass,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.",No,2016-12-04 19:18:23
178330,The Philosopher,,Cocktail,Alcoholic,Margarita glass,"Add all the spirits in a shaker (best to use Hendricks gin) as well as the orange bitters and lemon juice. Strain into a Margarita glass, top with Prosecco.",Yes,
12420,Tuxedo Cocktail,"IBA,Classic",Ordinary Drink,Alcoholic,Cocktail glass,Stir all ingredients with ice and strain into a cocktail glass. Garnish with a cherry and a twist of lemon zest.,No,2017-09-02 12:42:31
14602,Tequila Surprise,,Shot,Alcoholic,Shot glass,Fill shot glass with Tequila. Add drops of Tobasco sauce.,No,2017-09-06 23:06:21
12784,Thai Iced Coffee,,Coffee / Tea,Non alcoholic,Highball glass,"Prepare a pot of coffee at a good European strength. In the ground coffee, add 2 or 3 freshly ground cardamom pods. Sweeten while hot, then cool quickly. Serve in highball glass over ice, with cream. To get the layered effect, place a spoon atop the coffee and pour the milk carefully into the spoon so that it floats on the top of the coffee.",No,2015-09-03 03:00:50
17826,The Jimmy Conway,,Cocktail,Alcoholic,Whiskey sour glass,"Fill glass with ice
Pour in The Irishman and Disaronno
Fill to the top with Cranberry Juice
Garnish with a slice of lemon…Enjoy!",No,2018-09-01 10:34:38
15178,Texas Rattlesnake,,Shot,Alcoholic,Highball glass,"Mix all ingredients and Shake well. Sweet at first, with a BITE at the end...",No,2017-09-08 17:55:50
17218,Vesper,"IBA,NewEra",Cocktail,Alcoholic,Cocktail glass,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",No,2017-09-02 18:48:34
12450,Victor,,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",No,2017-04-23 20:40:16
17217,Vampiro,"IBA,NewEra",Ordinary Drink,Alcoholic,Old-Fashioned glass,"Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended.",No,2017-09-02 18:44:06
12444,Vesuvio,,Ordinary Drink,Alcoholic,Old-fashioned glass,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",No,2017-04-23 20:36:43
12446,Veteran,,Ordinary Drink,Alcoholic,Old-fashioned glass,Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes. Stir well.,No,2017-04-23 20:37:36
12436,Van Vleet,,Ordinary Drink,Alcoholic,Old-fashioned glass,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",No,2017-04-23 20:29:31
16967,Vodka Fizz,,Other / Unknown,Alcoholic,White wine glass,"Blend all ingredients, save nutmeg. Pour into large white wine glass and sprinkle nutmeg on top.",No,2015-09-03 05:24:03
178363,Vodka Lemon,,Cocktail,Alcoholic,Highball glass,"The vodka lemon is prepared directly in a highball glass or in a large tumbler: put 6-7 ice cubes in the glass, pour the vodka, lemonade and mix with a bar spoon. Finally decorate with a slice of lemon and, if you prefer, add a few mint leaves. Your vodka lemon is ready to be served.",No,
178362,Vodka Slime,,Cocktail,Alcoholic,Highball glass,"Fill glass with ice. Add vodka, 7-up then finish with the lime juice.",No,
178364,Vodka Tonic,,Cocktail,Alcoholic,Highball glass,"Wash and cut 1 wedge and 1 slice of lime or lemon.
Fill a tumbler with fresh ice.
Pour the desired dose of vodka and top up with the tonic.
Squeeze the lime wedge into the glass and decorate with the slice.
That's all, very simple: it's just the recipe for happiness!",No,
14167,Vodka Martini,,Ordinary Drink,Alcoholic,Cocktail glass,"Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve.",No,2015-08-18 15:02:08
15403,Vodka Russian,,Ordinary Drink,Alcoholic,Collins Glass,Mix it as a ordinary drink .,No,2016-02-03 15:58:49
12442,Vermouth Cassis,,Ordinary Drink,Alcoholic,Highball glass,"Stir vermouth and creme de cassis in a highball glass with ice cubes. Fill with carbonated water, stir again, and serve.",No,2015-09-06 16:51:14
12452,Victory Collins,,Ordinary Drink,Alcoholic,Collins glass,Shake all ingredients (except orange slice) with ice and strain into a collins glass over ice cubes. Add the slice of orange and serve.,No,2017-04-23 20:43:39
12460,Vodka And Tonic,,Ordinary Drink,Alcoholic,Highball glass,"Pour vodka into a highball glass over ice cubes. Fill with tonic water, stir, and serve.",No,2017-09-07 22:41:40
12434,Valencia Cocktail,,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",No,2017-04-23 20:27:20
12518,Whisky Mac,,Ordinary Drink,Alcoholic,Collins Glass,Pour both of the ingredients into a wine goblet with no ice.,No,2016-04-28 19:24:18
17194,White Lady,"IBA,Classic",Ordinary Drink,Alcoholic,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into large cocktail glass.,No,2017-09-02 12:49:52
13058,Wine Punch,,Punch / Party Drink,Alcoholic,Collins Glass,Combine all of the ingredients and pour over a block of ice.,No,2016-09-08 15:18:30
13056,Wine Cooler,,Punch / Party Drink,Optional alcohol,Collins Glass,Mix wine and soft drink. Pour into glass. Add ice.,No,2016-09-08 15:16:50
178347,Winter Rita,Winter,Beer,Alcoholic,Highball Glass,"Salt rim. Combine all ingredients, shake with ice, and strain over fresh ice.⠀",No,
11004,Whiskey Sour,"IBA,Classic,Alcoholic,ContemporaryClassic",Ordinary Drink,Alcoholic,Old-fashioned glass,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice.",Yes,2017-09-02 12:45:25
12528,White Russian,,Ordinary Drink,Alcoholic,Old-fashioned glass,Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.,No,2016-08-28 18:35:32
178348,Winter Paloma,Winter,Cocktail,Alcoholic,Highball glass,Everyone’s favourite Paloma gets a delicious Indian makeover. Tequila reposado infused with “Timur Pepper” which has citrusy & grapefruit notes and is grown at the foothills of Himalaya. It also produces a slightly numbing and tingling sensation on your lip when consumed. We have also spiced up the fresh grapefruit juice with the warming spice blend from Himalaya. The combination of all these interesting elements has allowed us to elevate your Paloma sipping experience.,No,
178326,White Wine Sangria,Spanish,Punch / Party Drink,Alcoholic,Pitcher,"Chop the Lemon, Lime and other fruits into large chunks. Fill the Pitcher with the white wine and mix in the Apple Brandy. Top to taste with soda water.",No,
16158,Whitecap Margarita,,Other / Unknown,Alcoholic,Margarita/Coupette glass,Place all ingredients in a blender and blend until smooth. This makes one drink.,No,2015-09-02 17:00:22
12474,Waikiki Beachcomber,,Ordinary Drink,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",No,2015-09-02 16:43:03
17219,Yellow Bird,"IBA,NewEra",Cocktail,Alcoholic,Cocktail glass,Shake and strain into a chilled cocktail glass,No,2017-09-02 18:53:31
12728,Yoghurt Cooler,,Other / Unknown,Non alcoholic,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up. Note: Use lots of ice in this one - great on hot days! To add ice: Remove the center of the cover while the blender is on - drop 3 or 4 ice cubs and blend until they're completely crushed.",No,2015-09-03 05:27:46
15328,Zorro,,Coffee / Tea,Alcoholic,Coffee Mug,add all and pour black coffee and add whipped cream on top.,No,2017-01-28 16:34:43
14888,Zinger,,Soft Drink,Alcoholic,Highball glass,Get a shot glass and pour in three shots of the schnapps. Do the same with the Surge Cola. Then down it like Scheetz would.,No,2017-01-28 16:13:34
15691,Zoksel,,Soft Drink,Alcoholic,Beer pilsner,"No specific mixinginstructions, just poor every ingredient in one glass. The lemon goes with it.",No,2017-01-28 16:28:50
17241,Zombie,,Cocktail,Alcoholic,Hurricane glass,"
Blend at high speed for no more than 5 seconds.

Pour into a glass, add ice cubes to fill, then add the garnish.

*Donn’s mix: Bring 3 crushed cinnamon sticks, 1 cup of sugar and 1 cup of water to a boil, stirring until the sugar is dissolved.

Simmer for 2 minutes, then remove from the heat and let sit for at least 2 hours before straining into a clean glass bottle.

Then add 1 part of the syrup and 2 parts of fresh grapefruit juice together.",No,2017-11-01 17:35:26
15933,Zambeer,,Soft Drink,Alcoholic,Collins Glass,Mix sambuca with rootbeer and stir. Add ice,No,2017-01-28 16:06:18
16963,Zorbatini,,Cocktail,Alcoholic,Cocktail glass,Prepare like a Martini. Garnish with a green olive.,No,2017-01-28 16:32:35
15254,Zenmeister,,Ordinary Drink,Alcoholic,Collins Glass,Mix together and enjoy,No,2016-11-15 11:31:02
16942,Zipperhead,,Shot,Alcoholic,Whiskey sour glass,"Fill glass with rocks, add straw before putting in liquor. Then add the ingredients in order, trying to keep layered as much as possible (i.e. Chambord on bottom, then Vodka, Then soda on top).",No,2017-01-28 16:17:15
17027,Zima Blaster,,Ordinary Drink,Alcoholic,Hurricane glass,"Fill glass with ice. Pour in Chambord, then fill with Zima. Mix and enjoy.",No,2017-01-28 16:09:57
14594,Zizi Coin-coin,,Punch / Party Drink,Alcoholic,Margarita/Coupette glass,"Pour 5cl of Cointreau on ice, add 2cl of fresh lemon (or lime) juice, stir gently, and finally add slices of lemon/lime in glass.",No,2017-01-28 16:25:52
15801,Zimadori Zinger,,Punch / Party Drink,Alcoholic,Collins glass,Pour Zima in a collins glass over ice and then pour the shot of Midori. Don't stir. Garnish with a cherry.,No,2017-01-28 16:12:00
14065,Zippy's Revenge,,Cocktail,Alcoholic,Old-fashioned glass,Mix Kool-Aid to taste then add Rum and ammaretto. shake well to disolve the sugar in the Kool-Aid... serve cold,No,2017-01-28 16:18:33
14157,Ziemes Martini Apfelsaft,,Ordinary Drink,Alcoholic,Collins Glass,Serve without ice. At least the juice shold have room temperature.,No,2017-01-28 16:08:07
